,P,Y,Ce,Sm,Eu,Dy,Lu,Hf,Th,U,No,Set,zircon,Sample ID,Rock type,Age(Ma),REE+Y,p,label,pred_type
17,0.7885699597963829,0.933123397402874,-1.1159324232260777,3.420105592281032,-0.5656354821654364,1.2250370151603887,0.06697089269845048,-0.2968768380318574,-0.7790605713986621,-1.6842518429138453,97,Testing set,S-type zircon,181203\LA3-28,Lusatian Granitoids,509.0,25.16662977830068,22.3870967741935,1.0,1.0
18,0.8897146261264719,1.110013753876508,-1.2588325155542446,3.1933026495733303,-1.0753726456299042,1.344681736934168,0.38963898034060385,-0.5546625715366228,-0.5121052533972236,-1.3160799998443435,98,Testing set,S-type zircon,181203\LA3-29,Lusatian Granitoids,491.8,31.937599473259063,28.0967741935484,1.0,1.0
19,0.7150636425676788,0.6968150574748205,-0.7752404881443758,2.2118018559776855,-0.7763104347211711,0.839796720380941,0.2820226149125229,0.9660199862208251,-1.2294925958692848,-0.8977943955550923,99,Testing set,S-type zircon,181203\LA3-30,Lusatian Granitoids,605.135589679925,14.890527830646427,13.9032258064516,1.0,1.0
20,1.8491440376168682,2.0951896560423435,-2.1588116495824825,1.2856901034496226,-2.4818561948463933,1.8781793407418303,2.527294835021324,-0.26246687612283437,-1.564147941636052,0.5582926162154147,100,Testing set,S-type zircon,181203\LA3-32,Lusatian Granitoids,506.9,57.9865215406717,64.1935483870968,1.0,1.0
21,1.4875100191872501,1.2916617640175307,-1.4300540312279264,2.9983318390985882,-1.3580919093296522,1.3807163927476918,0.7630133281951308,-0.5765169434465242,-1.7192795948959423,-0.3112801473686009,101,Testing set,S-type zircon,181203\LA3-33,Lusatian Granitoids,593.5,35.119469072371196,45.4838709677419,1.0,1.0
22,1.1447523043933259,1.238520060667187,-1.2824673925462007,2.4930356732275496,-1.5996509196111015,1.244535523607463,1.0822334551632857,-1.459288035531875,-0.5866144998382826,-0.22801483943121598,102,Testing set,S-type zircon,181203\LA3-35,Lusatian Granitoids,554.4,46.857783874078805,46.4516129032258,1.0,1.0
23,1.6591534938056212,1.867504975896605,-1.9574758713844567,0.841941168066962,-3.375715366170615,1.6927667816369938,2.5798776308873044,-0.02640554462449432,-1.0932956255709663,1.7721621927663935,103,Testing set,S-type zircon,181203\LA3-36,Lusatian Granitoids,490.1,52.65830846420437,55.0322580645161,1.0,1.0
24,1.220940243493975,1.2547006936391458,-1.6324087918183454,1.4374087331856698,-1.0638797110166016,1.1376509978377798,1.3511954069205734,-0.014859214397271987,-1.3790656824861185,0.4277103536833628,104,Testing set,S-type zircon,181203\LA3-37,Lusatian Granitoids,528.397096901296,35.055678232966265,36.2258064516129,1.0,1.0
25,1.440335715979629,1.40186769825285,-1.4285131336284804,1.6601982690536958,-2.262911105870855,1.3557503182402626,1.4417750989217184,0.43147074978870037,-1.1539896569574148,0.10386090164410754,105,Testing set,S-type zircon,181203\LA3-38,Lusatian Granitoids,562.2,31.033738912216286,35.6774193548387,1.0,1.0
26,0.8445169407661026,1.0621712924063298,-1.4362231760085822,3.3296758421901615,-0.6047181005546416,1.273369794444738,0.4838434489235766,0.6216050184713501,-1.179680554993457,-1.5087419678068539,106,Testing set,S-type zircon,181203\LA3-39,Lusatian Granitoids,498.0,20.17024220375573,17.4193548387097,1.0,1.0
27,1.4544065573396099,1.4254700746256195,-1.4036175073433361,2.577923106069702,-1.9738620185485114,1.4281864413000485,1.1145956142974578,0.34126368077060043,-1.1726349694295675,-0.8948841511255031,107,Testing set,S-type zircon,181203\LA3-40,Lusatian Granitoids,567.444375775424,29.610939807037898,34.5806451612903,1.0,1.0
28,1.177501969500498,1.0360007556946866,-1.3309968842653508,3.1737321421609628,-0.8484140524388925,1.1788344774484911,0.6004430680956794,0.06090181291965697,-1.286663217730502,-1.2843688320717146,108,Testing set,S-type zircon,181203\LA3-45,Lusatian Granitoids,576.0,25.032281838624655,28.4838709677419,1.0,1.0
29,1.1705458642511917,1.1223271761689715,-1.1947223377936247,3.451655159822324,-1.1074278606928243,1.2930420344111546,0.5782447332517002,-0.4189160065578703,-0.9667478149847699,-1.7334245763919847,109,Testing set,S-type zircon,181203\LA3-46,Lusatian Granitoids,513.847138307102,27.779639170731755,30.3548387096774,1.0,1.0
30,1.565178035215962,1.4802446734037549,-1.6302125387272401,1.3967329518823277,-2.055872864070255,1.3281614537625623,1.770139785919019,0.5517822398933715,-1.5687594677631715,0.405638134029582,110,Testing set,S-type zircon,181203\LA3-49,Lusatian Granitoids,557.605770330472,31.443097704317452,38.0645161290323,1.0,1.0
31,0.8155835069162063,0.7045557497202383,-0.6643705363258468,2.2505077923639587,-0.7870735849899444,0.8719230394114599,0.2350072320806145,-0.22455444535143806,-0.9672683087829431,-0.891866300908181,111,Testing set,S-type zircon,181203\LA3-50,Lusatian Granitoids,587.841429151932,23.11981179418946,23.3225806451613,1.0,1.0
32,1.3172190600424236,1.3054917991407422,-1.3796765708349068,2.6766283213710573,-1.7130751086499425,1.4027673211146956,0.9807651842613969,0.7913958725620844,-1.235910478327033,-1.1487451376604811,112,Testing set,S-type zircon,181203\LA3-51,Lusatian Granitoids,574.0,25.4911713437189,28.2903225806452,1.0,1.0
33,1.1615814141052536,1.5333146779880724,-1.5913246164541353,1.5781008630103608,-1.782019837359698,1.4989877131148819,1.3736655188068068,-0.9530324709039497,-0.7901381192014014,0.5448675741718428,113,Testing set,S-type zircon,181203\LA3-52,Lusatian Granitoids,533.5,52.69371750502545,45.7096774193548,1.0,1.0
34,1.0017704562371765,0.9948761983147636,-1.1465012402009087,2.9437620727600313,-1.0268086267604757,1.1947697017535583,0.288061551354601,0.9577779575445007,-1.0301759408070903,-1.6581360196145798,114,Testing set,S-type zircon,181203\LA3-53,Lusatian Granitoids,553.826084444032,18.097807632619947,18.4838709677419,1.0,1.0
35,1.0603390670424497,1.3519531934319606,-1.2913103890576045,3.091759731877095,-1.5508794280746,1.4991131981002417,0.5571600875101096,-1.4454372178634305,-0.5125219049122784,-0.6971582302152536,115,Testing set,S-type zircon,181203\LA3-54,Lusatian Granitoids,561.17050176776,50.561632424683296,45.4838709677419,1.0,1.0
36,1.41754991766274,1.6615579303903478,-1.6136675948528307,0.8118441012773833,-1.919909816028554,1.4897074749304928,1.6903543097274987,-0.880808992584642,-0.8572556003525805,0.597114358117259,116,Testing set,S-type zircon,181203\LA3-58,Lusatian Granitoids,532.6,54.71764179728883,54.4838709677419,1.0,1.0
37,1.3566203666841954,1.4048241250709146,-1.4775272681398068,2.068214388513724,-1.7754628346806918,1.5211199908096795,1.0334325469563463,-0.5431112266914314,-0.9669117557383684,-0.1243824194220962,117,Testing set,S-type zircon,181203\LA4-03,Lusatian Granitoids,497.0,39.12834600446511,42.5806451612903,1.0,1.0
38,1.3177284695061302,1.291964296721592,-1.3457137281049258,1.6506958355151577,-1.1671843177211385,1.3172865687946438,1.0289703057139012,-0.6765083061346411,-1.2463722539925337,-0.17868294143381652,118,Testing set,S-type zircon,181203\LA4-05,Lusatian Granitoids,514.968507076995,39.4911191251085,44.0967741935484,1.0,1.0
