,No,Set,zircon,Sample ID,Rock type,Age(Ma),REE+Y,label,P,Y,Ce,Sm,Eu,Dy,Lu,Hf,Th,U,pred_type
373,715,Prediction set,detrital zircon,19-12-11-291,detrital zircon (<150Ma),15.2,16.844123740177317,,9.02516129032258,11.985161794254,0.304285714285714,0.0345514950166113,0.0150657894736842,0.522892307692308,0.428057142857143,64.9258823529412,2.46374997340882,2.70881415983558,0.0
374,716,Prediction set,detrital zircon,19-12-11-292,detrital zircon (<150Ma),65.0,21.910616375421885,,11.8406451612903,15.5261298030049,0.243428571428571,0.0185382059800664,0.00664473684210526,0.643569230769231,0.616742857142857,69.0133893557423,2.62606689093577,3.50578873912548,0.0
375,717,Prediction set,detrital zircon,19-12-11-294,detrital zircon (<150Ma),67.1,16.831877769055346,,8.9058064516129,11.9392194837433,0.0862142857142857,0.0230564784053156,0.00730263157894737,0.480738461538462,0.503714285714286,65.3480112044818,0.676078518091211,0.965710369864587,0.0
376,718,Prediction set,detrital zircon,19-12-11-3,detrital zircon (<150Ma),55.4,47.29866081461376,,19.2864516129032,34.7863118873989,0.183,0.0764119601328904,0.0109210526315789,1.7456,0.929085714285714,52.3725490196078,1.95833826957808,1.32575210061476,0.0
377,719,Prediction set,detrital zircon,19-12-11-302,detrital zircon (<150Ma),55.4,49.46795701964345,,16.4525806451613,36.4797227743458,0.2015,0.0815282392026578,0.0204605263157895,1.82443076923077,0.981142857142857,48.9985994397759,1.49988423118803,1.02117196612899,0.0
378,720,Prediction set,detrital zircon,19-12-11-307,detrital zircon (<150Ma),17.5,13.947932091526404,,7.44193548387097,9.78107703396418,0.221642857142857,0.0243853820598007,0.00973684210526316,0.391384615384615,0.418057142857143,55.1922128851541,1.77735826215681,1.93617136472071,0.0
379,721,Prediction set,detrital zircon,19-12-11-309,detrital zircon (<150Ma),30.5,29.624486021205072,,13.4412903225806,20.8838376516324,0.276071428571429,0.0243853820598007,0.00651315789473684,0.871815384615385,0.817428571428572,56.9116526610644,1.29846791926394,3.24079544496094,0.0
380,722,Prediction set,detrital zircon,19-12-11-315,detrital zircon (<150Ma),13.9,12.647372222577593,,3.38322580645161,8.68982110182056,0.249714285714286,0.0152159468438538,0.00605263157894737,0.321907692307692,0.435942857142857,62.0774229691877,2.71018346164206,3.86891841459777,0.0
381,723,Prediction set,detrital zircon,19-12-11-317,detrital zircon (<150Ma),64.5,22.70468546980962,,10.8958064516129,15.7704264311976,0.314,0.0164119601328904,0.00484868421052632,0.620061538461538,0.699085714285714,60.4991036414566,2.23527335089665,2.98852310517238,0.0
382,724,Prediction set,detrital zircon,19-12-11-318,detrital zircon (<150Ma),14.4,15.928585923373214,,8.6841935483871,11.2942355348576,0.167357142857143,0.0233887043189369,0.00927631578947368,0.470153846153846,0.444685714285714,47.1313725490196,0.854488301847246,1.00918372325874,0.0
