,P,Y,Ce,Sm,Eu,Dy,Lu,Hf,Th,U,No,Set,zircon,Sample ID,Rock type,Age(Ma),label,P_copy,pred_type
24,1.2208640997382332,1.254583813937278,-1.6324431993237352,1.4372200414449021,-1.063999927891271,1.1375356108256496,1.3510103790969994,-0.015355861770707663,-1.3791604410699456,0.43108638137795674,192,Testing set,S-type zircon,181203\LA3-37,Lusatian Granitoids,528.397096901296,1.0,36.2258064516129,1.0
25,1.4402421612009237,1.4017121749956267,-1.4285871025005694,1.659960858707229,-2.262960385024842,1.3556108762990766,1.4415240019425404,0.43084763346027666,-1.154164962442997,0.10765794346825354,193,Testing set,S-type zircon,181203\LA3-38,Lusatian Granitoids,562.2,1.0,35.6774193548387,1.0
26,0.8444376953786801,1.062078632649748,-1.4362461605348846,3.3299051141503933,-0.6048437178937579,1.2733236108245198,0.4835862192608071,0.6211554421545051,-1.1797538242518182,-1.5070886711021834,194,Testing set,S-type zircon,181203\LA3-39,Lusatian Granitoids,498.0,1.0,17.4193548387097,1.0
27,1.4543082145192185,1.4253085212224643,-1.4036972632064866,2.577836694190565,-1.97394599777335,1.4280488130367628,1.11427773698418,0.34063058629642956,-1.172816274089213,-0.891598681251609,195,Testing set,S-type zircon,181203\LA3-40,Lusatian Granitoids,567.444375775424,1.0,34.5806451612903,1.0
28,1.1773658852564237,1.0357644699226891,-1.3310881040317686,3.1737298896567205,-0.8486174639773243,1.178645593685671,0.6000193646994827,0.06026055711374924,-1.2868440396830259,-1.2811609321053694,196,Testing set,S-type zircon,181203\LA3-45,Lusatian Granitoids,576.0,1.0,28.4838709677419,1.0
29,1.1704812720348237,1.1222159648608043,-1.1947725148491017,3.4518660601164735,-1.107525269205858,1.2929732438387378,0.5779663041091266,-0.4193459049358136,-0.9668713560872275,-1.7316275040112545,197,Testing set,S-type zircon,181203\LA3-46,Lusatian Granitoids,513.847138307102,1.0,30.3548387096774,1.0
30,1.5651023185364517,1.48010939832505,-1.630270301856276,1.3964603842542034,-2.0559359430558346,1.3280256748608832,1.7699540368626883,0.551165249701408,-1.5688762011228516,0.4095341423888546,198,Testing set,S-type zircon,181203\LA3-49,Lusatian Granitoids,557.605770330472,1.0,38.0645161290323,1.0
31,0.8153971943882038,0.7042472845438315,-0.6645127956313838,2.25030752019325,-0.7872988151289105,0.8716686746550929,0.23449396280013007,-0.22521365351332268,-0.9675076719770884,-0.8881958115049979,199,Testing set,S-type zircon,181203\LA3-50,Lusatian Granitoids,587.841429151932,1.0,23.3225806451613,1.0
32,1.3170992752341362,1.3053000145183133,-1.3797631411532405,2.6765420787806646,-1.713192857084074,1.4026148258519369,0.9804091733487161,0.7907153037216459,-1.2360943864219682,-1.1454920206476475,200,Testing set,S-type zircon,181203\LA3-51,Lusatian Granitoids,574.0,1.0,28.2903225806452,1.0
33,1.1614934979681397,1.5332308971933328,-1.5913655874904393,1.577924220527765,-1.7820777153053395,1.4989171657484435,1.3734721118096316,-0.9534856774747463,-0.7903136152480903,0.5484073295742191,201,Testing set,S-type zircon,181203\LA3-52,Lusatian Granitoids,533.5,1.0,45.7096774193548,1.0
